Player 1, Player 2, Player 3, Player 4
30.00, 22.00, 18.00, 18.00
26.00, 24.00, 19.00, 23.00
28.00, 21.33, 17.33, 25.33
29.00, 21.50, 18.00, 23.00
28.40, 23.20, 17.60, 22.40
27.67, 23.00, 16.67, 23.33
27.14, 22.57, 17.71, 23.14
27.75, 22.25, 17.75, 23.25
26.89, 22.89, 17.33, 24.22
26.40, 22.80, 17.40, 24.80
26.18, 22.73, 17.27, 25.09
24.83, 23.33, 17.83, 24.33
25.23, 23.23, 18.15, 24.00
25.29, 22.43, 18.86, 24.29
25.60, 22.53, 19.33, 23.60
25.75, 22.88, 19.50, 22.75
25.41, 23.06, 19.29, 23.41
25.00, 23.11, 19.78, 23.44
24.63, 22.84, 19.89, 24.00
25.00, 22.70, 20.00, 23.90