Matches, Wins, Losses, Draws
40, 62.50, 37.50, 0.00
80, 57.50, 42.50, 0.00
120, 57.50, 42.50, 0.00
160, 56.88, 42.50, 0.63
200, 58.00, 41.00, 1.00
240, 55.83, 43.33, 0.83
280, 56.07, 43.21, 0.71
320, 55.31, 44.06, 0.63
360, 56.67, 42.78, 0.56
400, 56.25, 43.25, 0.50
440, 55.23, 44.32, 0.45
480, 54.79, 44.79, 0.42
520, 54.04, 45.58, 0.38
560, 54.29, 45.36, 0.36
600, 53.83, 45.83, 0.33
640, 55.00, 44.53, 0.47
680, 54.71, 44.85, 0.44
720, 54.58, 45.00, 0.42
760, 55.66, 43.95, 0.39
800, 55.50, 44.13, 0.38
840, 55.36, 44.29, 0.36
880, 55.45, 44.20, 0.34
920, 55.00, 44.67, 0.33
960, 54.79, 44.90, 0.31
1000, 54.80, 44.90, 0.30